sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
223,56.3593,16.9066,5.6353
224,20.5426,6.1623,2.0540
225,36.7085,11.0118,3.6705
226,11.6378,3.4911,1.1637
227,56.6494,16.9936,5.6643
228,39.2830,11.7840,3.9279
229,52.6854,15.8045,5.2680
230,40.1464,12.0430,4.0142
231,11.9833,3.5947,1.1982
232,16.3262,4.8975,1.6324
233,13.3975,4.0189,1.3396
234,46.3031,13.8899,4.6298
235,33.9615,10.1877,3.3958
236,26.4302,7.9285,2.6427
237,38.3690,11.5099,3.8365
238,35.5689,10.6699,3.5565
239,22.1331,6.6394,2.2131
240,44.5203,13.3551,4.4516
241,46.3381,13.9004,4.6333
242,12.3939,3.7179,1.2393
243,18.7712,5.6309,1.8769
244,28.9142,8.6736,2.8911
245,15.6383,4.6912,1.5637
246,20.3461,6.1034,2.0344
247,36.5183,10.9547,3.6514
248,21.0479,6.3139,2.1046
249,17.5600,5.2676,1.7558
250,56.6866,17.0048,5.6681
251,28.1064,8.4313,2.8103
252,46.3388,13.9006,4.6334
253,32.8966,9.8683,3.2893
254,13.4471,4.0338,1.3446
255,32.5143,9.7536,3.2511
256,19.0814,5.7240,1.9079
257,20.6391,6.1913,2.0637
258,62.3947,18.7171,6.2388
259,35.9982,10.7987,3.5994
260,15.3895,4.6165,1.5388
261,57.4978,17.2481,5.7492
262,17.0716,5.1211,1.7070
263,7.5019,2.2504,0.7501
264,11.0113,3.3032,1.1010
265,27.0605,8.1176,2.7058
266,29.5417,8.8619,2.9538
267,47.6297,14.2879,4.7625
268,27.4608,8.2377,2.7458
269,32.0091,9.6020,3.2006
270,25.4967,7.6485,2.5494
271,29.6880,8.9057,2.9685
272,50.6148,15.1833,5.0609
273,9.5286,2.8584,0.9528
274,49.0133,14.7029,4.9008
275,48.7960,14.6377,4.8791
276,28.1553,8.4460,2.8152
277,12.4105,3.7229,1.2409
278,20.4785,6.1431,2.0476
279,15.0023,4.5004,1.5001
280,21.9824,6.5942,2.1980
281,41.0859,12.3249,4.1081
282,14.6964,4.4086,1.4695
283,60.0429,18.0116,6.0036
284,31.0095,9.3022,3.1006
285,6.1798,1.8538,0.6179
286,48.2144,14.4633,4.8209
287,23.6740,7.1017,2.3671
288,31.1197,9.3352,3.1116
289,54.9781,16.4922,5.4972
